word,freq_ref,freq_approx,error
black,281,286,1.7793594306049823
negro,272,282,3.676470588235294
men,207,225,8.695652173913043
world,162,185,14.197530864197532
south,163,180,10.429447852760736
white,153,165,7.8431372549019605
new,130,165,26.923076923076923
land,130,135,3.8461538461538463
negroes,107,114,6.542056074766355
social,79,103,30.379746835443036
