word,frequency_ref,frequency_approx,error
jean,1179,1370.0,16.20016963528414
marius,1251,1335.0,6.71462829736211
valjean,1050,1112.0,5.904761904761905
m,881,1088.0,23.496027241770715
cosette,921,1045.0,13.463626492942455
de,589,824.0,39.898132427843805
chapter,744,812.0,9.13978494623656
rue,664,794.0,19.57831325301205
father,561,727.0,29.590017825311943
once,485,707.0,45.77319587628866
