god|1068|1086|1.69%
men|973|981|0.82%
power|745|757|1.61%
law|665|680|2.26%
therefore|607|615|1.32%
also|583|595|2.06%
same|540|546|1.11%
soveraign|497|499|0.4%
because|463|475|2.59%
hath|446|452|1.35%
