word,freq_approx,freq_approx,error
the,3478,3483,0.1437607820586544
to,2852,2866,0.4908835904628331
and,2821,2830,0.31903580290677064
of,2683,2694,0.40998881848676855
a,1632,1653,1.286764705882353
in,1429,1445,1.119664100769769
was,1335,1348,0.9737827715355806
her,1200,1209,0.75
had,1184,1189,0.4222972972972973
she,1132,1164,2.8268551236749118
