word,frequency_ref,frequency_approx,error
jean,1179,1341,13.740458015267176
marius,1251,1308,4.556354916067146
valjean,1050,1128,7.428571428571429
m,881,1051,19.296254256526673
cosette,921,986,7.057546145494028
chapter,744,829,11.424731182795698
rue,664,730,9.939759036144578
moment,563,718,27.53108348134991
men,601,707,17.63727121464226
de,589,707,20.0339558573854
